sample;cc;area
L1;0,06;8963,37
L1;0,06;8959,1
L1;0,06;8996,08
L1;0,06;9018,14
L1;0,06;9021,47
L1;0,06;9202,27
L2;0,055;8083,61
L2;0,055;8085,58
L2;0,055;8065,73
L2;0,055;8287,42
L2;0,055;8389,69
L2;0,055;8645,13
L3;0,05;7557,15
L3;0,05;7600,76
L3;0,05;7557,55
L3;0,05;7503,38
L3;0,05;7610,52
L3;0,05;7558,77
L4;0,045;6901,15
L4;0,045;6877,19
L4;0,045;6894,82
L4;0,045;6869,82
L4;0,045;6801,81
L4;0,045;6784,56
L5;0,04;5930,83
L5;0,04;6000,33
L5;0,04;5966,1
L5;0,04;6203,52
L5;0,04;5961,86
L5;0,04;6000,3
L6;0,025;3819,49
L6;0,025;3817,13
L6;0,025;3819,85
L6;0,025;3806,7
L6;0,025;3872,02
L6;0,025;3801,96
L7;0,02;3819,49
L7;0,02;3817,13
L7;0,02;3819,85
L7;0,02;3806,7
L7;0,02;3872,02
L7;0,02;3801,96
L8;0,01;1463,31
L8;0,01;1409,93
L8;0,01;1411,93
L8;0,01;1290,48
L8;0,01;1319,94
L8;0,01;1337,13
L9;0,005;704,5
L9;0,005;591,49
L9;0,005;691,8
L9;0,005;639,82
L9;0,005;637,06
L9;0,005;696,6
L10;0;0,63
L10;0;1,1
L10;0;1,03
L10;0;0,49
L10;0;0,96
L10;0;1
