sample;cc;area
S1;0,5;51,58
S1;0,5;53,17
S1;0,5;51,25
S1;0,5;52,14
S1;0,5;51,95
S1;0,5;49,64
S2;0,25;19,35
S2;0,25;20,07
S2;0,25;19,6
S2;0,25;18,79
S2;0,25;17,54
S2;0,25;16,82
S3;0,2;26,94
S3;0,2;26,12
S3;0,2;26,01
S3;0,2;25,04
S3;0,2;25,89
S3;0,2;24,71
S4;0,15;15,08
S4;0,15;14,76
S4;0,15;14,61
S4;0,15;14,07
S4;0,15;13,97
S4;0,15;14,33
S5;0,1;10,81
S5;0,1;10,69
S5;0,1;10,39
S5;0,1;10,11
S5;0,1;10,03
S5;0,1;9,95
S6;0,05;5,03
S6;0,05;4,99
S6;0,05;4,85
S6;0,05;4,83
S6;0,05;4,56
S6;0,05;4,39
S7;0,025;1,93
S7;0,025;1,89
S7;0,025;1,89
S7;0,025;1,81
S7;0,025;1,78
S7;0,025;1,71
S8;0,01;0,79
S8;0,01;0,68
S8;0,01;0,61
S8;0,01;0,67
S8;0,01;0,64
S8;0,01;0,55
